School,Year,Month,Amount
"Timilty, James P. Middle School",2013,9,48271.75
"Timilty, James P. Middle School",2015,12,3280
"Timilty, James P. Middle School",2013,2,3229
"Timilty, James P. Middle School",2012,2,24326.58
"Timilty, James P. Middle School",2015,2,3040
"Timilty, James P. Middle School",2012,8,23413.43
"Timilty, James P. Middle School",2015,11,2470
"Timilty, James P. Middle School",2012,4,7736
"Timilty, James P. Middle School",2013,5,19780.9
"Timilty, James P. Middle School",2014,8,434.19
"Timilty, James P. Middle School",2013,1,4070.7
"Timilty, James P. Middle School",2016,6,12347.85
"Timilty, James P. Middle School",2012,12,9484.59
"Timilty, James P. Middle School",2014,5,3853.5
"Timilty, James P. Middle School",2015,5,3636
"Timilty, James P. Middle School",2015,4,980
"Timilty, James P. Middle School",2015,3,5123.6
"Timilty, James P. Middle School",2012,6,42050.55
"Timilty, James P. Middle School",2013,8,7978
"Timilty, James P. Middle School",2014,7,4780.48
"Timilty, James P. Middle School",2016,5,3907.1
"Timilty, James P. Middle School",2016,12,1599
"Timilty, James P. Middle School",2012,10,30800
"Timilty, James P. Middle School",2014,6,9409.64
"Timilty, James P. Middle School",2017,8,8824.56
"Timilty, James P. Middle School",2015,10,3982.36
"Timilty, James P. Middle School",2016,9,2598.88
"Timilty, James P. Middle School",2013,11,628.97
"Timilty, James P. Middle School",2013,12,19687.5
"Timilty, James P. Middle School",2015,9,5367.96
"Timilty, James P. Middle School",2014,12,7034.42
"Timilty, James P. Middle School",2014,3,8442.3
"Timilty, James P. Middle School",2015,1,270
"Timilty, James P. Middle School",2015,8,299.04
"Timilty, James P. Middle School",2012,7,27070.04
"Timilty, James P. Middle School",2013,6,12819.63
"Timilty, James P. Middle School",2014,9,576.5
"Timilty, James P. Middle School",2014,1,4590.52
Madison Park Technical Vocational High School,2012,9,54760.84
Madison Park Technical Vocational High School,2014,4,20972.79
Madison Park Technical Vocational High School,2013,7,699.98
Madison Park Technical Vocational High School,2016,11,89575.84
Madison Park Technical Vocational High School,2013,3,10006.94
Madison Park Technical Vocational High School,2014,2,58539.5
Madison Park Technical Vocational High School,2014,10,28369.26
Madison Park Technical Vocational High School,2016,8,37641.92
Madison Park Technical Vocational High School,2016,1,56130.96
Madison Park Technical Vocational High School,2014,11,28578.22
Madison Park Technical Vocational High School,2012,3,9387.82
Madison Park Technical Vocational High School,2016,7,15030.26
Madison Park Technical Vocational High School,2013,4,19350.31
Madison Park Technical Vocational High School,2012,1,27186
Madison Park Technical Vocational High School,2017,7,65904.38
Madison Park Technical Vocational High School,2015,6,30660.41
Madison Park Technical Vocational High School,2016,2,64669.66
Madison Park Technical Vocational High School,2016,3,54677.37
Madison Park Technical Vocational High School,2012,5,6210.82
Madison Park Technical Vocational High School,2016,10,95386.37
Madison Park Technical Vocational High School,2015,7,46370.19
Madison Park Technical Vocational High School,2016,4,94716.02
Madison Park Technical Vocational High School,2012,11,14427.26
Madison Park Technical Vocational High School,2013,9,10241.11
Madison Park Technical Vocational High School,2015,12,43144.58
Madison Park Technical Vocational High School,2013,2,24427.67
Madison Park Technical Vocational High School,2012,2,27319.26
Madison Park Technical Vocational High School,2015,2,9104.36
Madison Park Technical Vocational High School,2012,8,17715.98
Madison Park Technical Vocational High School,2015,11,39572.89
Madison Park Technical Vocational High School,2012,4,1499.35
Madison Park Technical Vocational High School,2013,5,54275.8
Madison Park Technical Vocational High School,2014,8,87445.43
Madison Park Technical Vocational High School,2013,1,49571.27
Madison Park Technical Vocational High School,2016,6,109575.27
Madison Park Technical Vocational High School,2012,12,20260.39
Madison Park Technical Vocational High School,2014,5,46075.57
Madison Park Technical Vocational High School,2015,5,92335.53
Madison Park Technical Vocational High School,2015,4,80184.96
Madison Park Technical Vocational High School,2015,3,109900.15
Madison Park Technical Vocational High School,2012,6,4759.32
Madison Park Technical Vocational High School,2013,8,990
Madison Park Technical Vocational High School,2014,7,12798.8
Madison Park Technical Vocational High School,2016,5,27632.9
Madison Park Technical Vocational High School,2016,12,47006.96
Madison Park Technical Vocational High School,2012,10,40812.5
Madison Park Technical Vocational High School,2014,6,50672.56
Madison Park Technical Vocational High School,2017,8,27875.71
Madison Park Technical Vocational High School,2015,10,51078.56
Madison Park Technical Vocational High School,2016,9,2727.33
Madison Park Technical Vocational High School,2013,11,24382.99
Madison Park Technical Vocational High School,2013,12,36568.8
Madison Park Technical Vocational High School,2015,9,17765.27
Madison Park Technical Vocational High School,2014,12,25813.28
Madison Park Technical Vocational High School,2014,3,156267.2
Madison Park Technical Vocational High School,2015,1,33451.5
Madison Park Technical Vocational High School,2015,8,3510.19
Madison Park Technical Vocational High School,2012,7,3322.34
Madison Park Technical Vocational High School,2013,6,14646.83
Madison Park Technical Vocational High School,2014,9,197667.53
Madison Park Technical Vocational High School,2013,10,17875.26
Madison Park Technical Vocational High School,2014,1,178566.76
"Lyon, Mary K-8",2012,9,17103.14
"Lyon, Mary K-8",2014,4,720.61
"Lyon, Mary K-8",2013,7,3283.27
"Lyon, Mary K-8",2016,11,501.3
"Lyon, Mary K-8",2013,3,5922.04
"Lyon, Mary K-8",2014,2,944.25
"Lyon, Mary K-8",2014,10,410.4
"Lyon, Mary K-8",2014,11,482.8
"Lyon, Mary K-8",2012,3,5323.67
"Lyon, Mary K-8",2016,7,1015.97
"Lyon, Mary K-8",2013,4,419.3
"Lyon, Mary K-8",2012,1,846.72
"Lyon, Mary K-8",2017,7,1936.64
"Lyon, Mary K-8",2015,6,4256.99
"Lyon, Mary K-8",2016,2,279.6
"Lyon, Mary K-8",2016,3,242.07
"Lyon, Mary K-8",2012,5,21611.65
"Lyon, Mary K-8",2016,10,564.96
"Lyon, Mary K-8",2015,7,8001.44
"Lyon, Mary K-8",2016,4,8309.22
"Lyon, Mary K-8",2012,11,850
"Lyon, Mary K-8",2015,12,379.99
"Lyon, Mary K-8",2013,2,1426.38
"Lyon, Mary K-8",2012,2,5097.46
"Lyon, Mary K-8",2012,8,8762.72
"Lyon, Mary K-8",2015,11,1555.76
"Lyon, Mary K-8",2012,4,1208.32
"Lyon, Mary K-8",2013,5,4083.57
"Lyon, Mary K-8",2014,8,957.25
"Lyon, Mary K-8",2013,1,837.25
"Lyon, Mary K-8",2016,6,4156.27
"Lyon, Mary K-8",2012,12,1176.19
"Lyon, Mary K-8",2014,5,10846.72
"Lyon, Mary K-8",2015,5,3391.46
"Lyon, Mary K-8",2015,4,13724.99
"Lyon, Mary K-8",2015,3,1834.21
"Lyon, Mary K-8",2012,6,6871.08
"Lyon, Mary K-8",2013,8,1029.06
"Lyon, Mary K-8",2014,7,21118.42
"Lyon, Mary K-8",2016,5,1924.29
"Lyon, Mary K-8",2016,12,177.69
"Lyon, Mary K-8",2012,10,2024.17
"Lyon, Mary K-8",2014,6,5353.34
"Lyon, Mary K-8",2017,8,2047.88
"Lyon, Mary K-8",2016,9,1571.95
"Lyon, Mary K-8",2013,11,1320.86
"Lyon, Mary K-8",2013,12,7303.02
"Lyon, Mary K-8",2015,9,4304.48
"Lyon, Mary K-8",2014,12,182.85
"Lyon, Mary K-8",2014,3,113.34
"Lyon, Mary K-8",2015,1,1065.8
"Lyon, Mary K-8",2015,8,1707.39
"Lyon, Mary K-8",2012,7,5393.79
"Lyon, Mary K-8",2013,6,2913.01
"Lyon, Mary K-8",2014,9,2138.69
"Lyon, Mary K-8",2013,10,1510.48
"Lyon, Mary K-8",2014,1,1452.76
"Alighieri, Dante Montessori School",2016,11,796.16
"Alighieri, Dante Montessori School",2016,1,671.87
"Alighieri, Dante Montessori School",2016,7,474.5
"Alighieri, Dante Montessori School",2017,7,1894.94
"Alighieri, Dante Montessori School",2015,6,21376.27
"Alighieri, Dante Montessori School",2016,3,397.85
"Alighieri, Dante Montessori School",2016,10,999.34
"Alighieri, Dante Montessori School",2016,4,1087.55
"Alighieri, Dante Montessori School",2015,2,1836.06
"Alighieri, Dante Montessori School",2015,11,108.95
"Alighieri, Dante Montessori School",2016,6,5137.36
"Alighieri, Dante Montessori School",2015,4,47482.62
"Alighieri, Dante Montessori School",2015,3,4693.14
"Alighieri, Dante Montessori School",2016,12,504.19
"Alighieri, Dante Montessori School",2017,8,8019.64
"Alighieri, Dante Montessori School",2015,10,8867.91
"Alighieri, Dante Montessori School",2015,1,3543.37
"Condon, James F. Elementary School",2012,9,2659.64
"Condon, James F. Elementary School",2014,4,16684.13
"Condon, James F. Elementary School",2016,11,25597.9
"Condon, James F. Elementary School",2013,3,19249.59
"Condon, James F. Elementary School",2014,2,2258.7
"Condon, James F. Elementary School",2014,10,1272.41
"Condon, James F. Elementary School",2016,1,5281.23
"Condon, James F. Elementary School",2014,11,2012.35
"Condon, James F. Elementary School",2012,3,1572.72
"Condon, James F. Elementary School",2016,7,384
"Condon, James F. Elementary School",2013,4,3154.75
"Condon, James F. Elementary School",2017,7,19929.93
"Condon, James F. Elementary School",2015,6,5223.98
"Condon, James F. Elementary School",2016,2,222.67
"Condon, James F. Elementary School",2016,3,895.45
"Condon, James F. Elementary School",2012,5,4829.3
"Condon, James F. Elementary School",2015,7,15558.93
"Condon, James F. Elementary School",2016,4,45313.55
"Condon, James F. Elementary School",2012,11,18060.14
"Condon, James F. Elementary School",2013,9,617.35
"Condon, James F. Elementary School",2015,12,7346.24
"Condon, James F. Elementary School",2013,2,200
"Condon, James F. Elementary School",2012,2,3185.54
"Condon, James F. Elementary School",2012,8,200
"Condon, James F. Elementary School",2015,11,168.22
"Condon, James F. Elementary School",2013,5,14082.63
"Condon, James F. Elementary School",2014,8,15881
"Condon, James F. Elementary School",2013,1,9261.19
"Condon, James F. Elementary School",2016,6,14042
"Condon, James F. Elementary School",2012,12,4506.98
"Condon, James F. Elementary School",2014,5,35278.13
"Condon, James F. Elementary School",2015,5,14506.3
"Condon, James F. Elementary School",2015,4,16683.44
"Condon, James F. Elementary School",2015,3,3797.69
"Condon, James F. Elementary School",2012,6,614.06
"Condon, James F. Elementary School",2013,8,4349.92
"Condon, James F. Elementary School",2014,7,2584
"Condon, James F. Elementary School",2016,5,25993.09
"Condon, James F. Elementary School",2016,12,3292.57
"Condon, James F. Elementary School",2012,10,417.95
"Condon, James F. Elementary School",2014,6,1912.52
"Condon, James F. Elementary School",2017,8,19015.74
"Condon, James F. Elementary School",2013,11,3773.9
"Condon, James F. Elementary School",2015,9,1122.5
"Condon, James F. Elementary School",2014,12,1511.06
"Condon, James F. Elementary School",2014,3,31835.37
"Condon, James F. Elementary School",2015,1,1600.73
"Condon, James F. Elementary School",2015,8,4594.87
"Condon, James F. Elementary School",2012,7,170
"Condon, James F. Elementary School",2013,6,3952.91
"Condon, James F. Elementary School",2014,9,5000
"Condon, James F. Elementary School",2014,1,444.8
Brighton High School,2012,9,19611
Brighton High School,2014,4,10316.95
Brighton High School,2013,7,13871.95
Brighton High School,2016,11,35912.48
Brighton High School,2013,3,1335.72
Brighton High School,2014,2,12114.28
Brighton High School,2014,10,8845.92
Brighton High School,2016,8,6842.17
Brighton High School,2016,1,5600.16
Brighton High School,2014,11,4939.13
Brighton High School,2012,3,6376.69
Brighton High School,2016,7,14234.57
Brighton High School,2013,4,449.14
Brighton High School,2012,1,33710.65
Brighton High School,2017,7,28636.6
Brighton High School,2015,6,5852.44
Brighton High School,2016,2,9832.48
Brighton High School,2016,3,16104.53
Brighton High School,2012,5,37253.88
Brighton High School,2016,10,8724
Brighton High School,2015,7,11729.84
Brighton High School,2016,4,21555.28
Brighton High School,2012,11,18920.57
Brighton High School,2013,9,5771.53
Brighton High School,2015,12,8220.68
Brighton High School,2013,2,19729.58
Brighton High School,2012,2,13551.32
Brighton High School,2015,2,2440
Brighton High School,2012,8,6516.25
Brighton High School,2015,11,13911.68
Brighton High School,2012,4,5990.89
Brighton High School,2013,5,1197
Brighton High School,2014,8,43246.64
Brighton High School,2013,1,9484.16
Brighton High School,2016,6,10971.62
Brighton High School,2012,12,29163.45
Brighton High School,2014,5,33648.4
Brighton High School,2015,5,5306.85
Brighton High School,2015,4,11352.44
Brighton High School,2015,3,4423.81
Brighton High School,2012,6,11087.66
Brighton High School,2013,8,69095.47
Brighton High School,2014,7,61121.92
Brighton High School,2016,5,5373.88
Brighton High School,2016,12,1570.61
Brighton High School,2012,10,15853.99
Brighton High School,2014,6,6536.84
Brighton High School,2017,8,10464.18
Brighton High School,2015,10,22780.07
Brighton High School,2016,9,1187.4
Brighton High School,2013,11,11316.33
Brighton High School,2013,12,3148.67
Brighton High School,2015,9,1503.68
Brighton High School,2014,12,7990.3
Brighton High School,2014,3,24928.41
Brighton High School,2015,1,1377.5
Brighton High School,2015,8,7885.53
Brighton High School,2012,7,38614.68
Brighton High School,2013,6,16879.71
Brighton High School,2014,9,4895.05
Brighton High School,2013,10,31396.4
Brighton High School,2014,1,6032
"Burke, Jeremiah E. High School",2012,9,3655.45
"Burke, Jeremiah E. High School",2014,4,4704
"Burke, Jeremiah E. High School",2013,7,8719.11
"Burke, Jeremiah E. High School",2016,11,6705.6
"Burke, Jeremiah E. High School",2013,3,4415.37
"Burke, Jeremiah E. High School",2014,2,10211.16
"Burke, Jeremiah E. High School",2014,10,1711.92
"Burke, Jeremiah E. High School",2016,8,2521.91
"Burke, Jeremiah E. High School",2016,1,3229.26
"Burke, Jeremiah E. High School",2014,11,108617.11
"Burke, Jeremiah E. High School",2012,3,9406.65
"Burke, Jeremiah E. High School",2013,4,86947.1
"Burke, Jeremiah E. High School",2012,1,1724.88
"Burke, Jeremiah E. High School",2017,7,26617.07
"Burke, Jeremiah E. High School",2015,6,1097.41
"Burke, Jeremiah E. High School",2016,2,9220.65
"Burke, Jeremiah E. High School",2016,3,1015.82
"Burke, Jeremiah E. High School",2012,5,14535.94
"Burke, Jeremiah E. High School",2015,7,31914.75
"Burke, Jeremiah E. High School",2016,4,7065.06
"Burke, Jeremiah E. High School",2012,11,8833.91
"Burke, Jeremiah E. High School",2013,9,19759.82
"Burke, Jeremiah E. High School",2015,12,12557.25
"Burke, Jeremiah E. High School",2013,2,906.8
"Burke, Jeremiah E. High School",2012,2,6784.33
"Burke, Jeremiah E. High School",2012,8,28.36
"Burke, Jeremiah E. High School",2012,4,81074.33
"Burke, Jeremiah E. High School",2013,5,11310.34
"Burke, Jeremiah E. High School",2014,8,3010.15
"Burke, Jeremiah E. High School",2013,1,5390.37
"Burke, Jeremiah E. High School",2016,6,3759.16
"Burke, Jeremiah E. High School",2012,12,6072.64
"Burke, Jeremiah E. High School",2014,5,4349.44
"Burke, Jeremiah E. High School",2015,5,11537.74
"Burke, Jeremiah E. High School",2015,4,5945.67
"Burke, Jeremiah E. High School",2015,3,5527.15
"Burke, Jeremiah E. High School",2012,6,10489.02
"Burke, Jeremiah E. High School",2013,8,52814.48
"Burke, Jeremiah E. High School",2014,7,80293.08
"Burke, Jeremiah E. High School",2016,5,4513.3
"Burke, Jeremiah E. High School",2016,12,13744.21
"Burke, Jeremiah E. High School",2012,10,5784.76
"Burke, Jeremiah E. High School",2014,6,224393.8
"Burke, Jeremiah E. High School",2017,8,26332.9
"Burke, Jeremiah E. High School",2013,11,1035
"Burke, Jeremiah E. High School",2013,12,530
"Burke, Jeremiah E. High School",2015,9,1006.71
"Burke, Jeremiah E. High School",2014,12,153.67
"Burke, Jeremiah E. High School",2014,3,8044.28
"Burke, Jeremiah E. High School",2015,1,3257.56
"Burke, Jeremiah E. High School",2015,8,100247.91
"Burke, Jeremiah E. High School",2012,7,339.5
"Burke, Jeremiah E. High School",2013,6,11334.17
"Burke, Jeremiah E. High School",2014,9,3069.94
"Burke, Jeremiah E. High School",2013,10,15050.5
"Burke, Jeremiah E. High School",2014,1,10695.53
"Edison, Thomas A. K-8",2012,9,15181.69
"Edison, Thomas A. K-8",2014,4,5400
"Edison, Thomas A. K-8",2016,11,3798.94
"Edison, Thomas A. K-8",2013,3,5980
"Edison, Thomas A. K-8",2014,2,22532.85
"Edison, Thomas A. K-8",2016,1,16810.4
"Edison, Thomas A. K-8",2014,11,7432.02
"Edison, Thomas A. K-8",2012,3,1705.75
"Edison, Thomas A. K-8",2016,7,4535.49
"Edison, Thomas A. K-8",2013,4,37359.04
"Edison, Thomas A. K-8",2012,1,4298.55
"Edison, Thomas A. K-8",2017,7,9286.05
"Edison, Thomas A. K-8",2015,6,41547.48
"Edison, Thomas A. K-8",2016,2,269.2
"Edison, Thomas A. K-8",2016,3,2708.64
"Edison, Thomas A. K-8",2012,5,1633.75
"Edison, Thomas A. K-8",2016,10,2616.34
"Edison, Thomas A. K-8",2015,7,16876.11
"Edison, Thomas A. K-8",2012,11,6910.1
"Edison, Thomas A. K-8",2013,9,6298.88
"Edison, Thomas A. K-8",2015,12,9156.86
"Edison, Thomas A. K-8",2013,2,2300.4
"Edison, Thomas A. K-8",2012,2,3969.56
"Edison, Thomas A. K-8",2015,2,540
"Edison, Thomas A. K-8",2015,11,8998.31
"Edison, Thomas A. K-8",2012,4,6999.7
"Edison, Thomas A. K-8",2013,5,26940.96
"Edison, Thomas A. K-8",2014,8,1138.21
"Edison, Thomas A. K-8",2013,1,8278.77
"Edison, Thomas A. K-8",2016,6,29735.14
"Edison, Thomas A. K-8",2012,12,2681.89
"Edison, Thomas A. K-8",2014,5,9508.49
"Edison, Thomas A. K-8",2015,5,17663.04
"Edison, Thomas A. K-8",2015,4,12272.62
"Edison, Thomas A. K-8",2015,3,70830
"Edison, Thomas A. K-8",2012,6,19387.52
"Edison, Thomas A. K-8",2013,8,2978.15
"Edison, Thomas A. K-8",2014,7,13651
"Edison, Thomas A. K-8",2016,5,58881.27
"Edison, Thomas A. K-8",2012,10,12220.41
"Edison, Thomas A. K-8",2014,6,2914.1
"Edison, Thomas A. K-8",2017,8,15380.93
"Edison, Thomas A. K-8",2015,10,2511.93
"Edison, Thomas A. K-8",2016,9,5955.38
"Edison, Thomas A. K-8",2013,11,3987.84
"Edison, Thomas A. K-8",2013,12,7605.78
"Edison, Thomas A. K-8",2015,9,4266.79
"Edison, Thomas A. K-8",2014,12,9109.47
"Edison, Thomas A. K-8",2014,3,5955.57
"Edison, Thomas A. K-8",2015,1,3111.4
"Edison, Thomas A. K-8",2012,7,2100.99
"Edison, Thomas A. K-8",2013,6,2689.81
"Edison, Thomas A. K-8",2014,9,5877.25
"Edison, Thomas A. K-8",2013,10,2544.33
"Edison, Thomas A. K-8",2014,1,4491.48
Orchard Gardens K-8,2012,9,111370.34
Orchard Gardens K-8,2014,4,20731.7
Orchard Gardens K-8,2013,7,3824.62
Orchard Gardens K-8,2016,11,31372.92
Orchard Gardens K-8,2013,3,175406.29
Orchard Gardens K-8,2014,2,86618.7
Orchard Gardens K-8,2014,10,1167.12
Orchard Gardens K-8,2016,1,15579.34
Orchard Gardens K-8,2014,11,7084.72
Orchard Gardens K-8,2012,3,92707.31
Orchard Gardens K-8,2016,7,4821.29
Orchard Gardens K-8,2013,4,84158.88
Orchard Gardens K-8,2012,1,130272.51
Orchard Gardens K-8,2017,7,19671.79
Orchard Gardens K-8,2015,6,1216.43
Orchard Gardens K-8,2016,2,2023.82
Orchard Gardens K-8,2016,3,13646.36
Orchard Gardens K-8,2012,5,15589.1
Orchard Gardens K-8,2016,10,12392.47
Orchard Gardens K-8,2015,7,36605.2
Orchard Gardens K-8,2016,4,27563.83
Orchard Gardens K-8,2012,11,46199.33
Orchard Gardens K-8,2013,9,4732.34
Orchard Gardens K-8,2015,12,32394.7
Orchard Gardens K-8,2013,2,8935.82
Orchard Gardens K-8,2012,2,33052.74
Orchard Gardens K-8,2015,2,9338.11
Orchard Gardens K-8,2012,8,1200.52
Orchard Gardens K-8,2015,11,9870.72
Orchard Gardens K-8,2012,4,101651.6
Orchard Gardens K-8,2013,5,29113.91
Orchard Gardens K-8,2014,8,92043
Orchard Gardens K-8,2013,1,88866.53
Orchard Gardens K-8,2016,6,7078.02
Orchard Gardens K-8,2012,12,28266.22
Orchard Gardens K-8,2014,5,6300.55
Orchard Gardens K-8,2015,5,5758.5
Orchard Gardens K-8,2015,4,2430.02
Orchard Gardens K-8,2015,3,7119.47
Orchard Gardens K-8,2012,6,78915.63
Orchard Gardens K-8,2013,8,204478.38
Orchard Gardens K-8,2014,7,112635.86
Orchard Gardens K-8,2016,5,106836.36
Orchard Gardens K-8,2016,12,37132.56
Orchard Gardens K-8,2012,10,33783.15
Orchard Gardens K-8,2014,6,6385.54
Orchard Gardens K-8,2017,8,15612.9
Orchard Gardens K-8,2015,10,3524.59
Orchard Gardens K-8,2013,11,13400.71
Orchard Gardens K-8,2013,12,7029.86
Orchard Gardens K-8,2015,9,3419.1
Orchard Gardens K-8,2014,12,8900.87
Orchard Gardens K-8,2014,3,19438.36
Orchard Gardens K-8,2015,1,1742.38
Orchard Gardens K-8,2015,8,3383.6
Orchard Gardens K-8,2012,7,46426.49
Orchard Gardens K-8,2013,6,7753.95
Orchard Gardens K-8,2014,9,7381.64
Orchard Gardens K-8,2013,10,17460.11
Orchard Gardens K-8,2014,1,3440.17
"Grew, Henry Elementary School",2012,9,7376.69
"Grew, Henry Elementary School",2014,4,11603.88
"Grew, Henry Elementary School",2016,11,10997.46
"Grew, Henry Elementary School",2014,2,1242.15
"Grew, Henry Elementary School",2014,10,1206.52
"Grew, Henry Elementary School",2016,1,2642.89
"Grew, Henry Elementary School",2014,11,4428.88
"Grew, Henry Elementary School",2012,3,18285.98
"Grew, Henry Elementary School",2013,4,5000
"Grew, Henry Elementary School",2012,1,5440.75
"Grew, Henry Elementary School",2017,7,11242.38
"Grew, Henry Elementary School",2015,6,994.31
"Grew, Henry Elementary School",2016,2,610.57
"Grew, Henry Elementary School",2016,3,1355.32
"Grew, Henry Elementary School",2012,5,2173.64
"Grew, Henry Elementary School",2016,10,2856.78
"Grew, Henry Elementary School",2015,7,955.18
"Grew, Henry Elementary School",2016,4,40157.38
"Grew, Henry Elementary School",2012,11,2570.64
"Grew, Henry Elementary School",2013,9,295.59
"Grew, Henry Elementary School",2013,2,877.43
"Grew, Henry Elementary School",2012,2,24814.43
"Grew, Henry Elementary School",2015,11,225
"Grew, Henry Elementary School",2012,4,1001
"Grew, Henry Elementary School",2013,5,6736.76
"Grew, Henry Elementary School",2014,8,164.91
"Grew, Henry Elementary School",2013,1,14901.16
"Grew, Henry Elementary School",2016,6,11118.87
"Grew, Henry Elementary School",2012,12,207.34
"Grew, Henry Elementary School",2014,5,9880.02
"Grew, Henry Elementary School",2015,5,294.51
"Grew, Henry Elementary School",2015,3,2159.02
"Grew, Henry Elementary School",2012,6,6420.5
"Grew, Henry Elementary School",2013,8,53.48
"Grew, Henry Elementary School",2014,7,18252.3
"Grew, Henry Elementary School",2016,5,26807.63
"Grew, Henry Elementary School",2016,12,9772.55
"Grew, Henry Elementary School",2012,10,679.65
"Grew, Henry Elementary School",2014,6,1972.93
"Grew, Henry Elementary School",2017,8,6792.08
"Grew, Henry Elementary School",2015,10,8101.49
"Grew, Henry Elementary School",2016,9,21353.62
"Grew, Henry Elementary School",2013,11,993.2
"Grew, Henry Elementary School",2015,9,358.08
"Grew, Henry Elementary School",2014,3,5237.89
"Grew, Henry Elementary School",2012,7,1191.41
"Grew, Henry Elementary School",2013,6,4444.37
"Grew, Henry Elementary School",2014,9,3695.32
"Conley, George H. Elementary School",2012,9,3769.18
"Conley, George H. Elementary School",2014,4,4170.94
"Conley, George H. Elementary School",2013,7,204.21
"Conley, George H. Elementary School",2013,3,552.33
"Conley, George H. Elementary School",2014,2,2006.4
"Conley, George H. Elementary School",2014,10,845.9
"Conley, George H. Elementary School",2016,8,1089.26
"Conley, George H. Elementary School",2016,1,726.15
"Conley, George H. Elementary School",2014,11,3526.5
"Conley, George H. Elementary School",2012,3,2544.17
"Conley, George H. Elementary School",2016,7,563.87
"Conley, George H. Elementary School",2013,4,325.56
"Conley, George H. Elementary School",2012,1,10292.33
"Conley, George H. Elementary School",2017,7,8381.51
"Conley, George H. Elementary School",2015,6,1631.15
"Conley, George H. Elementary School",2016,2,2250
"Conley, George H. Elementary School",2016,3,1088
"Conley, George H. Elementary School",2012,5,4562.33
"Conley, George H. Elementary School",2015,7,5238.39
"Conley, George H. Elementary School",2016,4,1035.83
"Conley, George H. Elementary School",2012,11,783.46
"Conley, George H. Elementary School",2013,9,2657.7
"Conley, George H. Elementary School",2015,12,1363.76
"Conley, George H. Elementary School",2013,2,922.87
"Conley, George H. Elementary School",2012,2,2518
"Conley, George H. Elementary School",2012,8,2306.9
"Conley, George H. Elementary School",2015,11,644.96
"Conley, George H. Elementary School",2012,4,428.37
"Conley, George H. Elementary School",2013,5,3777.61
"Conley, George H. Elementary School",2013,1,1195.7
"Conley, George H. Elementary School",2016,6,635.92
"Conley, George H. Elementary School",2012,12,2797.44
"Conley, George H. Elementary School",2014,5,8855.3
"Conley, George H. Elementary School",2015,5,21.99
"Conley, George H. Elementary School",2015,4,1347.68
"Conley, George H. Elementary School",2015,3,127.26
"Conley, George H. Elementary School",2012,6,236.67
"Conley, George H. Elementary School",2013,8,4409.49
"Conley, George H. Elementary School",2014,7,1439.98
"Conley, George H. Elementary School",2016,5,2510.67
"Conley, George H. Elementary School",2016,12,3056
"Conley, George H. Elementary School",2012,10,851.68
"Conley, George H. Elementary School",2014,6,1515.61
"Conley, George H. Elementary School",2017,8,4081.74
"Conley, George H. Elementary School",2015,10,3219.4
"Conley, George H. Elementary School",2013,11,313.5
"Conley, George H. Elementary School",2013,12,1380.72
"Conley, George H. Elementary School",2015,9,5376.08
"Conley, George H. Elementary School",2014,12,431
"Conley, George H. Elementary School",2014,3,5015.07
"Conley, George H. Elementary School",2015,8,3917.14
"Conley, George H. Elementary School",2012,7,2056.09
"Conley, George H. Elementary School",2013,6,2136.04
"Conley, George H. Elementary School",2014,9,1597.87
"Conley, George H. Elementary School",2013,10,638.77
"Conley, George H. Elementary School",2014,1,4188.46
"Tynan, Joseph P. Elementary School",2012,9,9232.61
"Tynan, Joseph P. Elementary School",2014,4,6376.85
"Tynan, Joseph P. Elementary School",2016,11,16805.54
"Tynan, Joseph P. Elementary School",2013,3,3011.75
"Tynan, Joseph P. Elementary School",2014,2,8155.32
"Tynan, Joseph P. Elementary School",2014,10,5430.39
"Tynan, Joseph P. Elementary School",2016,1,5380
"Tynan, Joseph P. Elementary School",2014,11,1484.38
"Tynan, Joseph P. Elementary School",2016,7,2741.51
"Tynan, Joseph P. Elementary School",2013,4,5747.05
"Tynan, Joseph P. Elementary School",2012,1,14000
"Tynan, Joseph P. Elementary School",2017,7,21510.23
"Tynan, Joseph P. Elementary School",2015,6,2524.74
"Tynan, Joseph P. Elementary School",2016,2,14181.85
"Tynan, Joseph P. Elementary School",2016,3,1287.21
"Tynan, Joseph P. Elementary School",2012,5,1292
"Tynan, Joseph P. Elementary School",2016,10,808.91
"Tynan, Joseph P. Elementary School",2015,7,2729.25
"Tynan, Joseph P. Elementary School",2016,4,9242.79
"Tynan, Joseph P. Elementary School",2012,11,2743.64
"Tynan, Joseph P. Elementary School",2013,9,3261.18
"Tynan, Joseph P. Elementary School",2015,12,2694.38
"Tynan, Joseph P. Elementary School",2013,2,614.78
"Tynan, Joseph P. Elementary School",2012,2,320.29
"Tynan, Joseph P. Elementary School",2015,2,8438.61
"Tynan, Joseph P. Elementary School",2012,4,2539.13
"Tynan, Joseph P. Elementary School",2013,5,9832.07
"Tynan, Joseph P. Elementary School",2014,8,333.98
"Tynan, Joseph P. Elementary School",2013,1,24069.15
"Tynan, Joseph P. Elementary School",2016,6,4753.92
"Tynan, Joseph P. Elementary School",2012,12,2000.45
"Tynan, Joseph P. Elementary School",2014,5,19212.52
"Tynan, Joseph P. Elementary School",2015,5,1509.35
"Tynan, Joseph P. Elementary School",2015,4,12389.09
"Tynan, Joseph P. Elementary School",2012,6,11680.66
