School,AccountDesc,Amount
"Tynan, Joseph P. Elementary School",TransTrvl Field Trip,0.777102618
Harvard/Kent Elementary School,TransTrvl Field Trip,0.113209538
Boston Community Leadership Academy,TransTrvl Field Trip,0.084907154
"Bates, Phineas Elementary School",TransTrvl Field Trip,0.482317918
"Mason, Samuel W. Elementary School",TransTrvl Field Trip,2.123459992
West Zone Early Learning Center,TransTrvl Field Trip,0.954558569
Boston Arts Academy,TransTrvl Field Trip,1.441590856
"King, Martin Luther, Jr K-8",TransTrvl Field Trip,1.720198721
"Blackstone, William Elementary School",TransTrvl Field Trip,0.764406977
Mattahunt Elementary School,TransTrvl Field Trip,0.215098123
"Frederick, Lilla G. Middle School",TransTrvl Field Trip,6.694482712
"Dever, Paul A. Elementary School",TransTrvl Field Trip,0.163183463
"Irving, Washington Middle School",TransTrvl Field Trip,0.099805529
"Lyon, Mary High School",TransTrvl Field Trip,0.179922302
"Otis, James Elementary School",TransTrvl Field Trip,0.121700254
Charlestown High School,TransTrvl Field Trip,0.526704143
"Muniz, Margarita Academy",TransTrvl Field Trip,2.322412818
"English High, The",TransTrvl Field Trip,0.595563036
Jackson/Mann K-8,TransTrvl Field Trip,0.783369574
Rogers Middle School,TransTrvl Field Trip,2.327628543
"Hennigan, James W. K-8",TransTrvl Field Trip,0.212267885
Boston International Newcomers Academy,TransTrvl Field Trip,0.452838154
"Mozart, Wolfgang A. Elementary School",TransTrvl Field Trip,0.212700507
Urban Science Academy,TransTrvl Field Trip,1.942958704
"Trotter, William Monroe K-8",TransTrvl Field Trip,3.068595485
Greater Egleston Community High School,TransTrvl Field Trip,0.196095093
"Ellis, David A. Elementary School",TransTrvl Field Trip,0.726994459
"Guild, Curtis Elementary School",TransTrvl Field Trip,0.024744371
Lee Academy at the Fifield,TransTrvl Field Trip,0.599334531
"Greenwood, Sarah K-8",TransTrvl Field Trip,2.237372238
Boston Green Academy,TransTrvl Field Trip,0.028302385
Boston Adult Technical Academy,TransTrvl Field Trip,0.363887802
East Boston High School,TransTrvl Field Trip,0.454051113
"Kennedy, Patrick Elementary School",TransTrvl Field Trip,0.12816937
"Hale, Nathan Elementary School",TransTrvl Field Trip,2.472080679
Haynes Early Education Center,TransTrvl Field Trip,1.870181144
"Russell, William E. Elementary School",TransTrvl Field Trip,0.048518374
Higginson/Lewis K-8,TransTrvl Field Trip,0.972752959
Ellison/Parks Early Education School,TransTrvl Field Trip,0.777992121
"Greenwood, Elihu Leadership Academy",TransTrvl Field Trip,0.780741496
"Ohrenberger, William H. K-8",TransTrvl Field Trip,3.199877309
"Chittick, James J. Elementary School",TransTrvl Field Trip,0.4472828
"Edwards, Clarence R. Middle School",TransTrvl Field Trip,1.249408769
Dearborn STEM Academy,TransTrvl Field Trip,0.450778549
"Umana Academy, Mario K-8",TransTrvl Field Trip,1.137318388
