School,AccountDesc,Total
"Trotter, William Monroe K-8",EducSup Instructional Other,377921.36
"Perry, Oliver Hazard K-8",Equipment Computer Other,7828
"Perry, Oliver Hazard K-8",Equipment Instructional,41027.15
"Perry, Oliver Hazard K-8",Equipment Computer/Desktop,32549.31
"Perry, Oliver Hazard K-8",EducSup Instructional Other,115699.17
Greater Egleston Community High School,MiscSup Other,7803.5
Greater Egleston Community High School,TransTrvl Field Trip,2425
Greater Egleston Community High School,Current Space/Facility Rental,8233.46
Greater Egleston Community High School,Food  Catering,21701.72
Greater Egleston Community High School,Equipment Computer/Desktop,223507.35
Greater Egleston Community High School,Cont Serv Other,41639.8
Greater Egleston Community High School,EducSup Instructional Other,211053.8
"Ellis, David A. Elementary School",TransTrvl Field Trip,8990.34
"Ellis, David A. Elementary School",ContServ Dependent Contrctr,18131.1
"Ellis, David A. Elementary School",Food  Catering,477.25
"Ellis, David A. Elementary School",Equipment Computer/Desktop,81820.8
"Ellis, David A. Elementary School",Cont Serv Other,43598.84
"Ellis, David A. Elementary School",EducSup Instructional Other,115938.34
"Sumner, Charles Elementary School",Cont Serv Other,156574
"Sumner, Charles Elementary School",Equipment Computer/Desktop,40341
"Sumner, Charles Elementary School",ContServ Dependent Contrctr,24275
"Sumner, Charles Elementary School",EducSup Instructional Other,221898.41
"Quincy, Josiah Elementary School",Telecom Data Lines,777.9
"Quincy, Josiah Elementary School",TransTrvl Emp Out Of Town,8703.2
"Quincy, Josiah Elementary School",ContServ Dependent Contrctr,96070.5
"Quincy, Josiah Elementary School",Equipment Computer/Desktop,22832
"Quincy, Josiah Elementary School",Cont Serv Other,162972
"Quincy, Josiah Elementary School",EducSup Instructional Other,287364.2
UP Academy Boston,MiscSup Other,312.96
UP Academy Boston,Cont Serv Other,987491.86
UP Academy Boston,EducSup Instructional Other,21800.05
"Guild, Curtis Elementary School",MiscSup Other,177
"Guild, Curtis Elementary School",TransTrvl Field Trip,306
"Guild, Curtis Elementary School",Equipment Computer/Desktop,50762
"Guild, Curtis Elementary School",Cont Serv Other,244326.96
"Guild, Curtis Elementary School",EducSup Instructional Other,99574.07
Lee Academy at the Fifield,TransTrvl Field Trip,7411.64
Lee Academy at the Fifield,EducSup Instructional Textbook,77553.92
Lee Academy at the Fifield,Equipment Instructional,1949.04
Lee Academy at the Fifield,Equipment Computer/Desktop,14966.95
Lee Academy at the Fifield,Cont Serv Other,465190.22
Lee Academy at the Fifield,EducSup Instructional Other,100414.62
"Greenwood, Sarah K-8",TransTrvl Field Trip,27668.35
"Greenwood, Sarah K-8",ContServ Dependent Contrctr,68780
"Greenwood, Sarah K-8",Equipment Computer/Desktop,5672
"Greenwood, Sarah K-8",Cont Serv Other,80844.94
"Greenwood, Sarah K-8",EducSup Instructional Other,235631.4
Boston Green Academy,TransTrvl Field Trip,350
Boston Green Academy,Equipment Photocopy,2920.4
Boston Green Academy,Food  Catering,188.76
Boston Green Academy,Equipment Computer/Desktop,184802
Boston Green Academy,Cont Serv Other,352572.27
Boston Green Academy,EducSup Instructional Other,316720.49
Dudley Street Neighborhood School,Cont Serv Other,20836.3
Dudley Street Neighborhood School,EducSup Instructional Other,178654.58
Boston Adult Technical Academy,TransTrvl Field Trip,4500
Boston Adult Technical Academy,Telecom Data Lines,99
Boston Adult Technical Academy,TransTrvl Emp Out Of Town,14995.54
Boston Adult Technical Academy,ContServ Dependent Contrctr,50327.22
Boston Adult Technical Academy,Equipment Computer/Desktop,92646.56
Boston Adult Technical Academy,Cont Serv Other,127587.5
Boston Adult Technical Academy,EducSup Instructional Other,337336.54
East Boston High School,MiscSup Other,118684.82
East Boston High School,TransTrvl Field Trip,5615
East Boston High School,Equipment Computer Other,179264.43
East Boston High School,Equipment Photocopy,1365
East Boston High School,TransTrvl Emp Out Of Town,2519
East Boston High School,Equipment Instructional,2657
East Boston High School,Food  Catering,2348.9
East Boston High School,Equipment Computer/Desktop,117742.32
East Boston High School,Cont Serv Other,656911.35
East Boston High School,EducSup Instructional Other,631636.65
"Kennedy, Patrick Elementary School",MiscSup Other,599
"Kennedy, Patrick Elementary School",TransTrvl Field Trip,1585
"Kennedy, Patrick Elementary School",Telecom Data Lines,0.99
"Kennedy, Patrick Elementary School",EducSup Instructional Textbook,3547.7
"Kennedy, Patrick Elementary School",Equipment Instructional,1570
"Kennedy, Patrick Elementary School",Equipment Computer/Desktop,7618
"Kennedy, Patrick Elementary School",Cont Serv Other,34814.95
"Kennedy, Patrick Elementary School",EducSup Instructional Other,86913.82
"Lee, Joseph K-8",MiscSup Other,8406.11
"Lee, Joseph K-8",Telecom Data Lines,100.98
"Lee, Joseph K-8",ContServ Dependent Contrctr,30383.33
"Lee, Joseph K-8",Equipment Instructional,20937.04
"Lee, Joseph K-8",Food  Catering,199.78
"Lee, Joseph K-8",Equipment Computer/Desktop,37426.77
"Lee, Joseph K-8",Cont Serv Other,177730
"Lee, Joseph K-8",EducSup Instructional Other,325287.11
"Hale, Nathan Elementary School",MiscSup Other,324.5
"Hale, Nathan Elementary School",TransTrvl Field Trip,30570.86
"Hale, Nathan Elementary School",Current Space/Facility Rental,3480
"Hale, Nathan Elementary School",ContServ Dependent Contrctr,48070
"Hale, Nathan Elementary School",Office Postage,950
"Hale, Nathan Elementary School",Food  Catering,6485.75
"Hale, Nathan Elementary School",Equipment Computer/Desktop,13850.81
"Hale, Nathan Elementary School",Cont Serv Other,107164.37
"Hale, Nathan Elementary School",EducSup Instructional Other,131540.55
Haynes Early Education Center,MiscSup Other,4044.81
Haynes Early Education Center,TransTrvl Field Trip,23127.5
Haynes Early Education Center,ContServ Dependent Contrctr,58117.75
Haynes Early Education Center,EducSup Instructional Textbook,568.71
Haynes Early Education Center,Equipment Computer/Desktop,28230.11
Haynes Early Education Center,Cont Serv Other,109816.17
Haynes Early Education Center,EducSup Instructional Other,145610.86
"Russell, William E. Elementary School",MiscSup Other,999.98
"Russell, William E. Elementary School",TransTrvl Field Trip,600
"Russell, William E. Elementary School",Equipment Computer/Desktop,73743.2
"Russell, William E. Elementary School",Cont Serv Other,26038
"Russell, William E. Elementary School",EducSup Instructional Other,150277.42
"Taylor, Charles H. Elementary School",Telecom Data Lines,99
"Taylor, Charles H. Elementary School",ContServ Dependent Contrctr,4004
"Taylor, Charles H. Elementary School",Equipment Computer/Desktop,74419.8
"Taylor, Charles H. Elementary School",Cont Serv Other,18730
"Taylor, Charles H. Elementary School",EducSup Instructional Other,226446.06
Higginson/Lewis K-8,MiscSup Other,21883.04
Higginson/Lewis K-8,TransTrvl Field Trip,12029.5
Higginson/Lewis K-8,Equipment Computer Other,15218
Higginson/Lewis K-8,Telecom Data Lines,149
Higginson/Lewis K-8,TransTrvl Emp Out Of Town,3106.37
Higginson/Lewis K-8,EducSup Instructional Textbook,12608.7
Higginson/Lewis K-8,Food  Catering,1543
Higginson/Lewis K-8,Cont Serv Other,230214.86
Higginson/Lewis K-8,EducSup Instructional Other,89189.56
"McCormack, John W Middle School",MiscSup Other,38885.51
"McCormack, John W Middle School",TransTrvl Emp Out Of Town,1073.94
"McCormack, John W Middle School",EducSup Instructional Textbook,68638.07
"McCormack, John W Middle School",Equipment Computer/Desktop,129638.38
"McCormack, John W Middle School",Cont Serv Other,387357.81
"McCormack, John W Middle School",EducSup Instructional Other,224393.35
"Murphy, Richard K-8",MiscSup Other,403.35
"Murphy, Richard K-8",Telecom Data Lines,148.99
"Murphy, Richard K-8",ContServ Dependent Contrctr,7600
"Murphy, Richard K-8",ContServ  Printing/Binding,260.6
"Murphy, Richard K-8",Equipment Computer/Desktop,101438.15
"Murphy, Richard K-8",Cont Serv Other,63004
"Murphy, Richard K-8",EducSup Instructional Other,375704.05
"McKay, Donald K-8",MiscSup Other,16963.92
"McKay, Donald K-8",Equipment Computer Other,3314.96
"McKay, Donald K-8",Telecom Data Lines,99.99
"McKay, Donald K-8",ContServ  Printing/Binding,4899.84
"McKay, Donald K-8",Equipment Computer/Desktop,50819.48
"McKay, Donald K-8",Cont Serv Other,197450
"McKay, Donald K-8",EducSup Instructional Other,321773.84
Ellison/Parks Early Education School,Cont Serv Other,19376.72
Ellison/Parks Early Education School,Equipment Computer/Desktop,38843.77
Ellison/Parks Early Education School,TransTrvl Field Trip,9621
Ellison/Parks Early Education School,EducSup Instructional Other,130629.68
Gardner Pilot Academy K-8,MiscSup Other,23504.12
Gardner Pilot Academy K-8,ContServ Dependent Contrctr,21420
Gardner Pilot Academy K-8,Equipment Computer/Desktop,24070
Gardner Pilot Academy K-8,Cont Serv Other,768075.15
Gardner Pilot Academy K-8,EducSup Instructional Other,189856.54
"Greenwood, Elihu Leadership Academy",TransTrvl Field Trip,9655
"Greenwood, Elihu Leadership Academy",Equipment Computer Other,9900
"Greenwood, Elihu Leadership Academy",Telecom Data Lines,99.99
"Greenwood, Elihu Leadership Academy",ContServ Dependent Contrctr,120990
"Greenwood, Elihu Leadership Academy",Food  Catering,10816.65
"Greenwood, Elihu Leadership Academy",Equipment Computer/Desktop,70038.21
"Greenwood, Elihu Leadership Academy",Cont Serv Other,308720.03
"Greenwood, Elihu Leadership Academy",EducSup Instructional Other,137933.53
"Hurley, Joseph K-8",Cont Serv Other,78500
"Hurley, Joseph K-8",Equipment Computer/Desktop,2992.06
"Hurley, Joseph K-8",EducSup Instructional Other,95476.89
"Ohrenberger, William H. K-8",MiscSup Other,467
"Ohrenberger, William H. K-8",TransTrvl Field Trip,39571.12
"Ohrenberger, William H. K-8",Food  Catering,133.98
"Ohrenberger, William H. K-8",Equipment Computer/Desktop,27255.62
"Ohrenberger, William H. K-8",EducSup Instructional Other,209804.37
"Mendell, Ellis Elementary School",Equipment Computer Other,16127.92
"Mendell, Ellis Elementary School",Equipment Instructional,23140
"Mendell, Ellis Elementary School",Equipment Computer/Desktop,5884
"Mendell, Ellis Elementary School",Cont Serv Other,287862
"Mendell, Ellis Elementary School",EducSup Instructional Other,110476.86
UP Academy Dorchester,Cont Serv Other,1964236.02
"Chittick, James J. Elementary School",TransTrvl Field Trip,5531.3
"Chittick, James J. Elementary School",Telecom Data Lines,248.99
"Chittick, James J. Elementary School",EducSup Instructional Textbook,2608.34
"Chittick, James J. Elementary School",Food  Catering,8047.8
"Chittick, James J. Elementary School",Equipment Computer/Desktop,24329
"Chittick, James J. Elementary School",Cont Serv Other,96150
"Chittick, James J. Elementary School",EducSup Instructional Other,150732.94
"Edwards, Clarence R. Middle School",MiscSup Other,22177.34
"Edwards, Clarence R. Middle School",TransTrvl Field Trip,15450.75
"Edwards, Clarence R. Middle School",Furniture Classroom,15833.31
"Edwards, Clarence R. Middle School",Equipment Photocopy,4753.62
"Edwards, Clarence R. Middle School",TransTrvl Community,1000
"Edwards, Clarence R. Middle School",ContServ Advertising,14010.25
"Edwards, Clarence R. Middle School",ContServ Dependent Contrctr,125890
"Edwards, Clarence R. Middle School",EducSup Instructional Textbook,2172.1
"Edwards, Clarence R. Middle School",Equipment Instructional,1210
"Edwards, Clarence R. Middle School",Food  Catering,5252.5
"Edwards, Clarence R. Middle School",Equipment Computer/Desktop,51176.25
"Edwards, Clarence R. Middle School",Cont Serv Other,520912.39
"Edwards, Clarence R. Middle School",EducSup Instructional Other,248005.46
Dearborn STEM Academy,TransTrvl Field Trip,5574.53
Dearborn STEM Academy,ContServ  Printing/Binding,1333.84
Dearborn STEM Academy,Food  Catering,4891.7
Dearborn STEM Academy,Equipment Computer/Desktop,27620.09
Dearborn STEM Academy,Cont Serv Other,700935.88
Dearborn STEM Academy,EducSup Instructional Other,135843.15
"Umana Academy, Mario K-8",TransTrvl Field Trip,14064.59
"Umana Academy, Mario K-8",ContServ Dependent Contrctr,30765
"Umana Academy, Mario K-8",EducSup Instructional Textbook,16909.04
"Umana Academy, Mario K-8",Equipment Computer/Desktop,98409.85
"Umana Academy, Mario K-8",Cont Serv Other,360811.18
"Umana Academy, Mario K-8",EducSup Instructional Other,408963.52
"Manning, Joseph P. Elementary School",Equipment Photocopy,2100
"Manning, Joseph P. Elementary School",Cont Serv Other,232743
"Manning, Joseph P. Elementary School",Equipment Computer/Desktop,22591
"Manning, Joseph P. Elementary School",EducSup Instructional Other,65324.68
